node,long,lat,comid,reachcode
reservoir_cannonsville,-75.37462,42.065872,2614136,02040101005432
reservoir_pepacton,-74.965531,42.073603,1748727,02040102000078
reservoir_neversink,-74.643266,41.821286,4147432,02040104000138
reservoir_wallenpaupack,-75.18423,41.460825,2742586,02040103000072
reservoir_prompton,-75.32768,41.589961,2739772,02040103000041
reservoir_shoholaMarsh,-74.96866,41.392015,4150530,02040104000280
reservoir_mongaupeCombined,-74.755352,41.478898,4151958,02040104001520
reservoir_beltzvilleCombined,-75.638495,40.851266,4188143,02040106008081
reservoir_fewalter,-75.720849,41.113559,4186391,02040106008098
reservoir_merrillCreek,-75.10281,40.727174,2588031,02040105000293
reservoir_hopatcong,-74.664516,40.917661,2586785,02040105000076
reservoir_nockamixon,-75.184604,40.471662,2591099,02040105000365
reservoir_assunpink,-74.524199,40.219222,2590255,02040105007474
reservoir_ontelaunee,-75.933283,40.447622,4782243,02040203008990
reservoir_stillCreek,-75.990719,40.85809,4779123,02040203000882
reservoir_blueMarsh,-76.031525,40.379002,4783213,02040203000226
reservoir_greenLane,-75.481018,40.332875,4780955,02040203000079
reservoir_marshCreek,-75.717303,40.055435,4648728,02040205005903
link_delLordville,-75.21417,41.867528,2617364,02040101000044
link_delMontague,-74.79527778,41.30916667,4151628,02040104000050
link_delTrenton,-74.780647,40.221041,2590277,02040105001083
link_outletAssunpink,-74.76699,40.217486,2590137,02040105001098
link_outletSchuylkill,-75.203456,39.894148,4784841,02040203000001
link_outletChristina,-75.534213,39.735611,4652144,02040205000100
