parameter,value,units
cfs_to_mgd,0.64631689,
cumecs_to_mgd,22.82,
m3_to_gal,264.17,
mrf_baseline_cannonsville,122.8,mgd
mrf_baseline_pepacton,64.63,mgd
mrf_baseline_neversink,48.47,mgd
mrf_baseline_delMontague,1131.05,mgd
mrf_baseline_delTrenton,1938.950669,mgd
max_flow_baseline_delivery_nyc,800,mgd
level1a_factor_delivery_nyc,1000000,
level1b_factor_delivery_nyc,1000000,
level1c_factor_delivery_nyc,1000000,
level2_factor_delivery_nyc,1000000,
level3_factor_delivery_nyc,0.85,
level4_factor_delivery_nyc,0.7,
level5_factor_delivery_nyc,0.65,
max_flow_baseline_daily_delivery_nj,120,mgd
max_flow_baseline_monthlyAvg_delivery_nj,100,mgd
level1a_factor_delivery_nj,1,
level1b_factor_delivery_nj,1,
level1c_factor_delivery_nj,1,
level2_factor_delivery_nj,1,
level3_factor_delivery_nj,1,
level4_factor_delivery_nj,0.9,
level5_factor_delivery_nj,0.8,
